ID,path,title,authors,translators,author_uris,translator_uris,original_language,genre,source_edition
43782,/p2400/m43782,תְּהִלַּת אֵל,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43783,/p2400/m43783,יָהּ אֶת סֻכַּת,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43784,/p2400/m43784,תְּנוּ הָעֹז,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43785,/p2400/m43785,כִּירִי רָם,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43786,/p2400/m43786,אָז יְרַנֵּן,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43787,/p2400/m43787,בָּרוּךְ אֵל,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43788,/p2400/m43788,חִישׁ נָגִילָה,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43789,/p2400/m43789,יִתְרוֹמֵם שֵׁם,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43790,/p2400/m43790,אֵל חַי,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43791,/p2400/m43791,עַד אָנָה,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43792,/p2400/m43792,אֲיֻמָּה קוּמִי,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
43793,/p2400/m43793,אֶל הָאָרֶץ,יוסף חיים מבגדאד,"",https://wikidata.org/wiki/Q775996,"","",Translation missing: he.poetry,"שירה ופיוט של יהודי בבל, מכון בן צבי"
